,File_path,Emotion
51,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_IWW_SAD_XX.wav,sad
52,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_MTI_ANG_XX.wav,angry
53,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_MTI_DIS_XX.wav,disgust
54,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_MTI_FEA_XX.wav,fear
55,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_MTI_HAP_XX.wav,happy
56,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_MTI_NEU_XX.wav,neutral
57,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_MTI_SAD_XX.wav,sad
58,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TAI_ANG_XX.wav,angry
59,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TAI_DIS_XX.wav,disgust
60,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TAI_FEA_XX.wav,fear
61,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TAI_HAP_XX.wav,happy
62,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TAI_NEU_XX.wav,neutral
63,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TAI_SAD_XX.wav,sad
64,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TIE_ANG_XX.wav,angry
65,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TIE_DIS_XX.wav,disgust
66,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TIE_FEA_XX.wav,fear
67,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TIE_HAP_XX.wav,happy
68,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TIE_NEU_XX.wav,neutral
69,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TIE_SAD_XX.wav,sad
70,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TSI_ANG_XX.wav,angry
71,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TSI_DIS_XX.wav,disgust
72,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TSI_FEA_XX.wav,fear
73,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TSI_HAP_XX.wav,happy
74,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TSI_NEU_XX.wav,neutral
75,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_TSI_SAD_XX.wav,sad
76,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_WSI_ANG_XX.wav,angry
77,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_WSI_DIS_XX.wav,disgust
78,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_WSI_FEA_XX.wav,fear
79,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_WSI_HAP_XX.wav,happy
80,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_WSI_NEU_XX.wav,neutral
81,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1001_WSI_SAD_XX.wav,sad
82,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_DFA_ANG_XX.wav,angry
83,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_DFA_DIS_XX.wav,disgust
84,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_DFA_FEA_XX.wav,fear
85,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_DFA_HAP_XX.wav,happy
86,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_DFA_NEU_XX.wav,neutral
87,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_DFA_SAD_XX.wav,sad
88,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_ANG_HI.wav,angry
89,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_ANG_LO.wav,angry
90,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_ANG_MD.wav,angry
91,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_DIS_HI.wav,disgust
92,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_DIS_LO.wav,disgust
93,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_DIS_MD.wav,disgust
94,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_FEA_HI.wav,fear
95,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_FEA_LO.wav,fear
96,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_FEA_MD.wav,fear
97,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_HAP_HI.wav,happy
98,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_HAP_LO.wav,happy
99,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_HAP_MD.wav,happy
100,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_NEU_XX.wav,neutral
101,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_SAD_HI.wav,sad
102,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_SAD_LO.wav,sad
103,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IEO_SAD_MD.wav,sad
104,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IOM_ANG_XX.wav,angry
105,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IOM_DIS_XX.wav,disgust
106,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IOM_FEA_XX.wav,fear
107,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IOM_HAP_XX.wav,happy
108,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IOM_NEU_XX.wav,neutral
109,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IOM_SAD_XX.wav,sad
110,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITH_ANG_XX.wav,angry
111,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITH_DIS_XX.wav,disgust
112,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITH_FEA_XX.wav,fear
113,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITH_HAP_XX.wav,happy
114,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITH_NEU_XX.wav,neutral
115,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITH_SAD_XX.wav,sad
116,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITS_ANG_XX.wav,angry
117,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITS_DIS_XX.wav,disgust
118,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITS_FEA_XX.wav,fear
119,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITS_HAP_XX.wav,happy
120,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITS_NEU_XX.wav,neutral
121,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_ITS_SAD_XX.wav,sad
122,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWL_ANG_XX.wav,angry
123,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWL_DIS_XX.wav,disgust
124,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWL_FEA_XX.wav,fear
125,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWL_HAP_XX.wav,happy
126,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWL_NEU_XX.wav,neutral
127,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWL_SAD_XX.wav,sad
128,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWW_ANG_XX.wav,angry
129,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWW_DIS_XX.wav,disgust
130,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWW_FEA_XX.wav,fear
131,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWW_HAP_XX.wav,happy
132,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWW_NEU_XX.wav,neutral
133,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_IWW_SAD_XX.wav,sad
134,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_MTI_ANG_XX.wav,angry
135,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_MTI_DIS_XX.wav,disgust
136,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_MTI_FEA_XX.wav,fear
137,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_MTI_HAP_XX.wav,happy
138,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_MTI_NEU_XX.wav,neutral
139,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_MTI_SAD_XX.wav,sad
140,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TAI_ANG_XX.wav,angry
141,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TAI_DIS_XX.wav,disgust
142,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TAI_FEA_XX.wav,fear
143,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TAI_HAP_XX.wav,happy
144,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TAI_NEU_XX.wav,neutral
145,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TAI_SAD_XX.wav,sad
146,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TIE_ANG_XX.wav,angry
147,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TIE_DIS_XX.wav,disgust
148,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TIE_FEA_XX.wav,fear
149,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TIE_HAP_XX.wav,happy
150,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TIE_SAD_XX.wav,sad
151,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TSI_ANG_XX.wav,angry
152,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TSI_DIS_XX.wav,disgust
153,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TSI_FEA_XX.wav,fear
154,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TSI_HAP_XX.wav,happy
155,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TSI_NEU_XX.wav,neutral
156,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_TSI_SAD_XX.wav,sad
157,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_WSI_ANG_XX.wav,angry
158,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_WSI_DIS_XX.wav,disgust
159,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_WSI_FEA_XX.wav,fear
160,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_WSI_HAP_XX.wav,happy
161,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_WSI_NEU_XX.wav,neutral
162,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1002_WSI_SAD_XX.wav,sad
163,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_DFA_ANG_XX.wav,angry
164,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_DFA_DIS_XX.wav,disgust
165,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_DFA_FEA_XX.wav,fear
166,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_DFA_HAP_XX.wav,happy
167,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_DFA_NEU_XX.wav,neutral
168,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_DFA_SAD_XX.wav,sad
169,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_ANG_HI.wav,angry
170,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_ANG_LO.wav,angry
171,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_ANG_MD.wav,angry
172,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_DIS_HI.wav,disgust
173,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_DIS_LO.wav,disgust
174,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_DIS_MD.wav,disgust
175,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_FEA_HI.wav,fear
176,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_FEA_LO.wav,fear
177,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_FEA_MD.wav,fear
178,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_HAP_HI.wav,happy
179,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_HAP_LO.wav,happy
180,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_HAP_MD.wav,happy
181,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_NEU_XX.wav,neutral
182,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_SAD_HI.wav,sad
183,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_SAD_LO.wav,sad
184,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IEO_SAD_MD.wav,sad
185,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IOM_ANG_XX.wav,angry
186,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IOM_DIS_XX.wav,disgust
187,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IOM_FEA_XX.wav,fear
188,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IOM_HAP_XX.wav,happy
189,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IOM_NEU_XX.wav,neutral
190,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IOM_SAD_XX.wav,sad
191,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITH_ANG_XX.wav,angry
192,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITH_DIS_XX.wav,disgust
193,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITH_FEA_XX.wav,fear
194,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITH_HAP_XX.wav,happy
195,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITH_NEU_XX.wav,neutral
196,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITH_SAD_XX.wav,sad
197,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITS_ANG_XX.wav,angry
198,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITS_DIS_XX.wav,disgust
199,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITS_FEA_XX.wav,fear
200,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITS_HAP_XX.wav,happy
201,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITS_NEU_XX.wav,neutral
202,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_ITS_SAD_XX.wav,sad
203,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWL_ANG_XX.wav,angry
204,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWL_DIS_XX.wav,disgust
205,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWL_FEA_XX.wav,fear
206,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWL_HAP_XX.wav,happy
207,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWL_NEU_XX.wav,neutral
208,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWL_SAD_XX.wav,sad
209,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWW_ANG_XX.wav,angry
210,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWW_DIS_XX.wav,disgust
211,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWW_FEA_XX.wav,fear
212,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWW_HAP_XX.wav,happy
213,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWW_NEU_XX.wav,neutral
214,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_IWW_SAD_XX.wav,sad
215,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_MTI_ANG_XX.wav,angry
216,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_MTI_DIS_XX.wav,disgust
217,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_MTI_FEA_XX.wav,fear
218,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_MTI_HAP_XX.wav,happy
219,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_MTI_NEU_XX.wav,neutral
220,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_MTI_SAD_XX.wav,sad
221,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TAI_ANG_XX.wav,angry
222,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TAI_DIS_XX.wav,disgust
223,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TAI_FEA_XX.wav,fear
224,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TAI_HAP_XX.wav,happy
225,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TAI_NEU_XX.wav,neutral
226,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TAI_SAD_XX.wav,sad
227,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TIE_ANG_XX.wav,angry
228,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TIE_DIS_XX.wav,disgust
229,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TIE_FEA_XX.wav,fear
230,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TIE_HAP_XX.wav,happy
231,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TIE_NEU_XX.wav,neutral
232,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TIE_SAD_XX.wav,sad
233,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TSI_ANG_XX.wav,angry
234,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TSI_DIS_XX.wav,disgust
235,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TSI_FEA_XX.wav,fear
236,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TSI_HAP_XX.wav,happy
237,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TSI_NEU_XX.wav,neutral
238,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_TSI_SAD_XX.wav,sad
239,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_WSI_ANG_XX.wav,angry
240,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_WSI_DIS_XX.wav,disgust
241,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_WSI_FEA_XX.wav,fear
242,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_WSI_HAP_XX.wav,happy
243,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_WSI_NEU_XX.wav,neutral
244,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1003_WSI_SAD_XX.wav,sad
245,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_DFA_ANG_XX.wav,angry
246,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_DFA_DIS_XX.wav,disgust
247,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_DFA_FEA_XX.wav,fear
248,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_DFA_HAP_XX.wav,happy
249,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_DFA_NEU_XX.wav,neutral
250,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_DFA_SAD_XX.wav,sad
251,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_ANG_HI.wav,angry
252,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_ANG_LO.wav,angry
253,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_ANG_MD.wav,angry
254,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_DIS_HI.wav,disgust
255,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_DIS_LO.wav,disgust
256,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_DIS_MD.wav,disgust
257,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_FEA_HI.wav,fear
258,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_FEA_LO.wav,fear
259,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_FEA_MD.wav,fear
260,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_HAP_HI.wav,happy
261,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_HAP_LO.wav,happy
262,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_HAP_MD.wav,happy
263,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_NEU_XX.wav,neutral
264,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_SAD_HI.wav,sad
265,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_SAD_LO.wav,sad
266,D:/Project/codeclause/Speech Emotion Recognization/archive/Crema/1004_IEO_SAD_MD.wav,sad
